ID,LHML,LHEB,LHHD,RHML,RHEB,RHHD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFHD,RFMLD,RFAPD,LTML.Gold,LTML,LTPB,LTMLD,LTAPD,RTML.Gold,RTML,RTPB,RTMLD,RTAPD
MNC MN-4,270,48,35.48,273,50,35,218.5,13.17,10.3,217,14.71,10.6,380,379,66,36.24,22.07,25.32,380,373,67,35.9,22.96,25.73,317.5,320,NA,16.73,24.82,316.5,319,NA,17.81,25.38
MNC MN-5,NA,NA,NA,NA,NA,NA,NA,17.86,14.55,NA,18.14,14.37,NA,NA,NA,NA,28.43,33.05,NA,NA,NA,NA,28.65,33.8,NA,NA,NA,22.38,32.44,NA,NA,NA,24.21,34.26
MNC MN-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.99,22.47,NA,NA,NA,NA,19.26,23.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNC MN-8,251,44,40,251,44.5,34,185,11,8,185,11.5,8,354,352,61,36,18,21.5,354,350,62,36,17.5,22.5,284,287,58,16.5,23.5,284,287,59,16,25
MNC MN-9,285,42,36.5,284,44,34.5,219,11.5,8.5,225,12.5,9,410,409,NA,39,22,26,405,402,NA,40,22.5,27,335,338,NA,19,27,333,335,NA,19,26.5
MNC MN-10,274,NA,37.5,278,NA,38.5,225,12,10.5,230,12.5,9,407,402,68,37.5,21.5,26.5,408,404,69,37.5,21,27,344,347,63.5,20.5,25.5,346,350,64.5,19,27
MNC MN-11,278,47,40,279,47,38,217,14.5,10.5,218,13.5,10,413,408,71,39,24,26.5,411,404,69,39,23,26,338,339,66.5,20.5,27,330,334,66.5,20.5,24.5
MNC MN-12,290,50,40.5,292,50,41.5,NA,13,11.5,NA,13.5,11.5,388,387,65,35.5,30,21,390,386,66,NA,20,21.5,315,315.5,58.5,19.5,28,318,319,61,20,28.5
MNC MN-13,291,61,44.5,291,61,44,NA,20,13,NA,23,12.5,422,418,80,44.5,29.5,29.5,413,411,80,46,29.5,29.5,347,348,73.5,22,34,342,343,75.5,23,36
MNC MN-14,314,56,43.5,314,59,44,250,14,12,250,16.5,12,451,448,80,43,24.5,32,451,450,80,43.5,24.5,31,370,373,72.5,21,34,373,375,74,20.5,32.5
MNC MN-15,312,53,41,313,54,42,NA,NA,NA,NA,NA,NA,428,426,78,43,24,31,421,415,80,45,25.8,30.5,345,347,72.5,18.5,32.5,343,345,NA,19,27
MNC MN-17,297,51,38.5,294,50,38.5,237,13.5,9.5,234,13,10,417,413,68,38,21.5,23,423,420,68.5,39,23.5,24,358,359,63,20,23.5,358,360,62.5,20,22.5
MNC MN-18,NA,NA,NA,NA,NA,NA,NA,10,7.5,NA,10,8,NA,NA,NA,28.5,15,19,NA,NA,NA,28,16.5,18.5,NA,NA,NA,14.5,17.5,NA,NA,NA,14.5,18
MNC MN-19,296,59,41,293,59,44,234,16.5,12.5,235,16,13,423,418,76,42.5,25,28,424,420,68.5,39,23.5,24,357,356,71.5,20.5,32,351,353,71.5,21.5,36.5
MNC MN-20,293,60.5,43,291,62.5,44.5,225,17,12,227.5,17,13,415,413.5,81,45,28,29.5,416,415,82,45.5,29,28,342.5,344.5,78,23.5,32.5,344,347,79.5,21.5,32
MNC MN-21,296.5,58,42,NA,59,43.5,245.5,16,13,246,15.5,11.5,435,432,78,43.5,27.5,29,428,426,78,44,26,29,356,356.5,74,19.5,31.5,357.5,359,74.5,20,30.5
MNC MN-22,280,NA,36,277,NA,34.5,217.5,11.5,9,215,13,9,406,403,67,37.5,22.5,28,402,398,68,37,21.5,26.5,336,338,61.5,18.5,26.5,336,337,63,18.5,24
MNC MN-23,321,57,45.5,322,58,45.5,240,16,12,241,17,12,460.5,459,82,45,26,31,459,457,82.5,46.5,23.5,29,385,388,76.5,25.5,33.5,379,384,77,23.5,29.5
MNC MN-24,303,54.5,43.5,307,59.5,44.5,237,16,13.5,241.5,17.5,14,439,436,77,44.5,26,28.5,437,433,78,45,26.5,29,367,365,72,22,33,360,361,72,22,31.5
MNC MN-25,277,47,38,279,47,38.5,217,12.5,10.5,217,12.5,10,401,397,66,36.5,23,25,398,392,65,37.5,27.5,24,328,330,61.5,20.5,29,327,331,62.5,20,28.5
MNC MN-26,290,52,43.5,286,53,43.5,222,16.5,12,219,16.5,11.5,415,413,80,43.5,22.5,27,412,409,75,43.5,24,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNC MN-27,306,65,48.5,302,60,50,236,17.5,12.5,239,18.5,13,432,431,81,48.5,25.5,29,414,404.5,80,55,23.5,28.5,345,347,74.5,19,32,345,347,75,20,31
MNC MN-28,303,56,45,307,58,44,229,18,13,232,18,13.5,435,434,78,45.5,27,31,426,425,77,45,26,32,351,354,NA,23,34.5,344,346,NA,24.5,34
MNC MN-29,298,54,44.5,297,57,44,NA,13.5,12,NA,15,12,417,414,NA,48,27,25,419,416,NA,47,26.5,26,342,343,70.5,18.5,31,341,345,73.5,17.5,30.5
MNC MN-30,276,49,37.5,274,47,37,214,12.5,9.5,210,12.5,10,396,390,68,39.5,22,26.5,401,395,68,39.5,24.5,24.5,335,335,NA,18.5,25,335,335,NA,18,25
MNC MN-31,301,NA,43.5,308,NA,46.5,NA,19,13.5,NA,18.5,13.5,NA,NA,NA,NA,29.5,32,NA,NA,NA,NA,38,32.5,358,364,NA,26,32,356,358,NA,24.5,31.5
MNC MN-32,265,NA,36.5,266,NA,36.6,217,12.5,9.5,214,12.5,9,381,377,64,38,20,26,382,374,65,37.5,21,26.5,327,328,60.5,18,27,327,329,61.5,18.5,27
MNC MN-33,286,54,41,281,54,41,NA,NA,NA,NA,NA,NA,415,414,75,42.5,25,27.5,411,407,75,43,24.5,27.5,347,348,67,21,30,346,349,65.5,21,28
MNC MN-34,310,60,42.5,312,59,43.5,237,16.5,12.5,241,16,12,425,422,76,41.5,24.5,35,427,425,79,43,23.5,34.5,366,370,74,20,33.5,365,368,76,20.5,34
MNC MN-35,295,55,43.5,296,57,43,235,14.5,12,236,15.5,12,403,399,72,42.5,23,27.5,402,399,73,42.5,24,27.5,345,346,66.5,19,30,346,346,67.5,20.5,30.5
MNC MN-36,283,54,41.5,284,56,41,211,17.5,11,213,16,11.5,405,397,73,39.5,24,29.5,406,402,74,39.5,23.5,30,323,322,63.5,22.5,30.5,324,324,69.5,21.5,27.5
MNC MN-37,272,NA,39,277,NA,39.5,NA,NA,NA,NA,NA,NA,393,389,NA,37.5,25,27.5,396,390,NA,38,23,26.5,335,337,NA,20,26,335,336,NA,19,25.5
MNC MN-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,23.5,28.5,NA,NA,NA,38,25.5,27.5,343,345,NA,20,25.5,346,346,NA,20.5,26.5
MNC MN-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,13,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNC MN-46,343,60,49,343,62,49,NA,19,13.5,NA,19.5,14,474,465,86,51.5,33,32.5,482,477,84,52.5,28.5,33,394,398,79,27,33,399,401,78,28,34.5
MNC MN-49,296,59,47,290,59,46,NA,NA,NA,NA,NA,NA,405,403,80,45.5,NA,30,409,404,80,45.5,26.5,30.5,334,334,73,23.5,29.5,336,334,73,22,29
MNC MN-50,346,62,48.5,348,59,48.5,260,15.5,13.5,259,16,13.5,467,464,83,46.5,24.5,35.5,461,458,84,46.5,25.5,34,395,400,NA,21,32,393,399,NA,21,30.5
MNC MN-51,330,57,45.5,329,60,46.5,NA,17.5,14,NA,18.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,391,76.5,25.5,36.5,390,394,76.5,27,36
