ID,LHML,LHEB,LHHD,RHML,RHEB,RHHD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFHD,RFMLD,RFAPD,LTML.Gold,LTML,LTPB,LTMLD,LTAPD,RTML.Gold,RTML,RTPB,RTMLD,RTAPD
AMNH 98/14,322,66,47.49,324,66,47.67,230,14.05,11.75,233,14.44,11.36,450,446,81,46.92,28.07,26.46,448,445,NA,46.6,26.78,27.02,356,360,69.45,21.46,31.16,356,359,71.44,22.32,31.62
AMNH 98/35,378,70,54.49,380,68,53.34,297,17.78,14.18,290,18.03,14.08,520,517,92,52.57,32.65,35.3,516,514,94,52.38,31.64,35.87,455,463,86.08,26.13,33.91,451,462,85.04,26.21,35.61
AMNH 98/42,329,68,43.86,330,70,46.79,236,19.09,13.96,240,18.54,13.76,460,458,86,47.68,28.61,29.88,464,458,87,47.83,29.1,29.94,358,364,77.2,24.23,28.6,362,368,77.11,23.64,29.41
AMNH 98/43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,447,81,48.34,29.46,30.51,448,446,81,47.94,28.75,32.54,374,383,74.33,22.69,28.41,375,383,74.02,23.43,28.32
AMNH 98/44,322,65,46.28,327,69,46.42,238,18.06,12.79,241,16.53,12.85,457,454,87,47.15,30.49,28.83,453,450,86,48.31,30.1,27.94,358,360,80.17,23.69,30.13,355,360,79.63,22.74,30.6
AMNH 98/45,347,64,48,349,65,49.4,262,17.61,14.07,267,19.25,14.54,490,487,92,53.49,29.78,30.01,492,491,92,54.3,28.38,29.92,407,416,84.66,29.51,32.45,411,417,85.55,28.51,32.94
AMNH 98/46,338,62,47.1,340,61,46.52,241,18.36,13.33,246,19,12.41,456,455,82,48.09,28.87,32.48,456,455,83,48.25,28.75,30.64,373,378,76.18,23.38,31.45,375,378,73.45,22.74,30.87
AMNH 98/48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,450,86,49.6,25.94,31.29,451,448,83,49.11,25.93,31.21,391,395,75.64,20.86,30.7,391,396,73.84,19.78,31.91
AMNH 98/49,330,61,43.54,331,62,46.36,240,18.4,11.72,245,17.25,11.07,443,442,75,42.7,25.42,25.02,442,441,77,44.59,24.22,25.32,377,380,71.12,19.74,27.55,381,385,71.72,20.63,27.07
AMNH 98/50,311,63,48.34,315,67,48.4,228,17.21,11.53,222,16.8,12.11,421,420,85,46.56,26.82,28.66,424,425,85,48.02,26.14,27.84,348,354,78.16,22.14,33.24,348,350,73.92,22.45,31.03
AMNH 98/51,306,60,46.02,307,61.19,45.92,230,16.7,12.29,229,16.89,13.25,430,426,84,45.09,28.27,29.26,429,428,83,45.53,27.99,29.32,343,346,75.79,22.82,31.71,342,346,75.78,21.43,33.3
AMNH 98/52,334,63,52.17,340,63,51.68,233,18,12.63,234,18.66,13.79,473,463,86,49.83,30.61,30.76,477,473,85,50.26,30.54,30.96,380,385,76.73,23.85,32.03,380,384,76.65,25.77,34.48
AMNH 98/53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,452,89,49.46,27.59,29.76,454,451,89,49.83,27.56,29.69,350,353,80.55,22.99,31.45,348,351,80.41,23.96,30.21
AMNH 98/55,318,65,46.65,315,66,48.07,260,19.04,14.27,260,18.71,15.33,464,462,90,48.98,32.18,29.59,456,453,90,48.45,31.53,30.49,383,388,80.78,26.2,33.47,387,389,82.07,25.56,31.85
AMNH 98/56,360,65,48.92,360,65,50.49,263,18.41,14.64,264,19.7,13.84,486,483,89,50.81,32.49,32.53,491,487,90,51.26,32.3,33.43,401,405,78.23,24.12,34.49,401,405,77.89,25.86,33.47
AMNH 98/57,338,66,47.52,341,65,47.84,252,18.5,12.75,253,17.03,13.51,482,475,83,49.81,29.97,31.43,481,477,84,52.4,31.28,32.47,381,389,76.72,NA,NA,385,393,77.74,NA,NA
AMNH 98/316,318,57,44.57,318,57,44.58,229,16.19,11.11,230,17.54,10.74,451,447,77,43.17,27.34,27.4,447,443,77,43.53,27.51,26.84,353,364,67.96,22.16,28.49,360,363,NA,28.65,28.66
AMNH 98/315,305,54,36.87,311,53,35.8,237,14.4,11.5,244,15.47,11.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,379,NA,22.66,29.71,372,NA,NA,29.06,29.06
AMNH 98/319,312,61,45.96,315,62,44.3,224,16.45,11.43,226,15.15,11.7,433,425,76,44.53,27.72,28.68,443,437,80,45.52,26.7,31.03,347,350,69.8,21.72,24.05,346,348,74,22.79,25.77
AMNH 98/322,303,57,39.01,312,58,39.72,228,14.6,12.25,220,15.01,10.67,445,442,75,41.67,26.48,28.55,441,439,77,42.12,26.49,29.83,366,369,67.43,20.57,28.62,368,372,63.56,20.97,28.4
AMNH 98/335,318,56,38.66,310,56,40.52,221,15.39,10.37,222,14.92,10.36,429,426,76,40.92,24.56,28.43,427,423,74,41,25.72,28.39,352,357,68.29,20.49,28.44,355,360,68.14,19.89,28.43
